"asin","date","text","imageUrlList","numberOfHelpful","parentReviewId","rate","reviewId","title","username","verified","keyword","date_raw","year","month","day","year_month","quarter","year_quarter","country"
"B08D67NYTR",2022-02-16,"This product is horrible. First one bought showed up cracked and the fan wouldn’t work, requested a replacement . Well due to some life issues we weren’t able to put it together until today and the same issue is occurring and it’s too late to return it. Absolutely horribly made product and now there’s let down kids and I’m out the money.","",2,NA,1,"R3NZ388GGVEZV3","Horrible","M. Francis","True","Game","Reviewed in the United States on February 16, 2022",2022,"February","Wednesday","2022/02","Q1",2022 Q1,"the United States"
"B08D67NYTR",2022-02-09,"The power cord was not powerful enough to run fan motor","",0,NA,3,"R32G2DI7ATD2L0","Power cord","Jason","True","Game","Reviewed in the United States on February 9, 2022",2022,"February","Wednesday","2022/02","Q1",2022 Q1,"the United States"
"B08D67NYTR",2022-01-09,"By far the worst purchases we’ve made on Amazon. The first one we ordered the motor does work so we ordered a replacement and it arrived with water damage. Save your money, this isn’t worth it.","",0,NA,1,"R1Y275GKRZX3MG","Save your money - these are junk","Kellie","True","Game","Reviewed in the United States on January 9, 2022",2022,"January","Sunday","2022/01","Q1",2022 Q1,"the United States"
"B08D67NYTR",2021-11-30,"Christmas present for grandsons. They love it!","",0,NA,4,"R26Y2PEAS12F0W","Well made","ferrett45","True","Game","Reviewed in the United States on November 30, 2021",2021,"November","Tuesday","2021/11","Q4",2021 Q4,"the United States"
"B08D67NYTR",2021-10-22,"My grandchildren love playing","",0,NA,5,"R94DHCC4JOTHE","Great quality for the price","Donna Brady","True","Game","Reviewed in the United States on October 22, 2021",2021,"October","Friday","2021/10","Q4",2021 Q4,"the United States"
"B08D67NYTR",2021-10-18,"It came damaged but it was functional and my kids were so excited we put it together. Within the first ten mins the score keeper stopped working it was just ringing up a score for no reason. About 30 mins in the fan blowing air up stoped working so now it is not even able to be used. Due to the fact I bought it a month (saved it for my child’s birthday yesterday) the return window is closed. Total waste of money","",9,NA,1,"R2QBLV132GI8SH","Don’t buy","Amazon Customer","True","Game","Reviewed in the United States on October 18, 2021",2021,"October","Monday","2021/10","Q4",2021 Q4,"the United States"
"B08D67NYTR",2021-10-03,"Excellent Game for my Grandboys and the family for a a great price . Worth the price easy assembly","",0,NA,5,"R29QH2ZB18A5WU","I’m a hero to my Grandboys","Sherrick R Duncombe","True","Game","Reviewed in the United States on October 3, 2021",2021,"October","Sunday","2021/10","Q4",2021 Q4,"the United States"
"B08D67NYTR",2021-07-10,"Excellent quality wish it would fold up though","['https://images-na.ssl-images-amazon.com/images/I/B1c5ClPLhMS._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/C1O2SBKOmbS._SY88.jpg']",7,NA,5,"R231OL24E6GGMG","Nice Hockey Game","Luz Gaud","True","Game","Reviewed in the United States on July 10, 2021",2021,"July","Saturday","2021/07","Q3",2021 Q3,"the United States"
"B08D67NYTR",2021-07-09,"I bought this for myself. I love playing air hockey. I placed this in my loft area which is our TV and game area. I put it together myself ( a woman good with instructions <U+0001F923>). It was very easy with good instructions. The only thing I recommend is putting the NHL panels up before the smaller side panels. Took no time to put together with the Allen wrench that was supplied in the box. A real air hockey player can't lean on it or play intensely because its not sturdy as a real table but I like it a lot. With the prefabricated holes for the panels use a drill. I used my pink Black&Decker<U+0001F60A>","['https://images-na.ssl-images-amazon.com/images/I/91ae+2EQKyL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/A1UY4TG-GzL._SY88.jpg']",13,NA,5,"R30L38XNEXWDB5","Ice Hockey Table is great!","TRINITA HARRIS","True","Game","Reviewed in the United States on July 9, 2021",2021,"July","Friday","2021/07","Q3",2021 Q3,"the United States"
"B08D67NYTR",2021-06-25,"My family has been watching the 2021 Stanley Cup playoffs and wanted to have something that was fun similar to the NHL. Saw this on Amazon and absolutely love the NHL theme to it. Was able to put it together in about 40 minutes and as soon as it was set up, my kids went to town on it. Great fun for the whole family, I would highly recommend it and at a price of $95 ,you can't beat it !!","",4,NA,5,"R1DPXBD8O93YXT","Action right out of the box !!","jbello68","True","Game","Reviewed in the United States on June 25, 2021",2021,"June","Friday","2021/06","Q2",2021 Q2,"the United States"
